Article/Prefix,Word,English Translation,Example Sentence,English Translation (Sentence),POS
,abkürzen,abbreviate,Wir können den Weg durch den Park deutlich abkürzen.,We can significantly shorten the route through the park.,V
die,"Abkürzung, -en",Abbreviation,"Kennst du die richtige Abkürzung für dieses lange Wort""","Do you know the correct abbreviation for this long word""",N
der,"Ablauf, -ä-e",Process,Der zeitliche Ablauf der Veranstaltung steht bereits fest.,The schedule for the event has already been set.,N
,ablaufen,expire,Mein Reisepass ist leider schon vor einem Monat abgelaufen.,"Unfortunately, my passport expired a month ago.",V
,ablegen,take off,Er hat die schwierige Prüfung erfolgreich abgelegt.,He successfully passed the difficult exam.,V
die,"Ableistung, -en",Performance,Die Ableistung des Zivildienstes dauerte mehrere Monate.,The civilian service lasted several months.,N
,ablesen,read,Ich muss morgen den Zählerstand der Heizung ablesen.,I need to read the heating meter tomorrow.,V
die,"Abmahnung, -en",Warning,Der Mitarbeiter erhielt wegen Zuspätkommens eine Abmahnung.,The employee received a warning for being late.,N
,abmelden,log out,"Vergessen Sie nicht, sich vor der Abreise abzumelden.",Don't forget to check out before you leave.,V
,abmildern,mitigate,Neue Maßnahmen sollen die Folgen der Krise abmildern.,New measures are intended to mitigate the consequences of the crisis.,V
,abmontieren,dismantle,Wir müssen die alten Regale in der Küche abmontieren.,We need to dismantle the old shelves in the kitchen.,V
die,"Abnahme, -n",Decrease,Die offizielle Abnahme des Neubaus erfolgt nächste Woche.,The official handover of the new building will take place next week.,N
das,"Abnahmeprotokoll, -e",Acceptance protocol,Bitte unterschreiben Sie das fertige Abnahmeprotokoll.,Please sign the completed acceptance protocol.,N
,abraten,advise against,Ich würde dir von diesem riskanten Kauf eher abraten.,I would advise you against this risky purchase.,V
die,"Abrechnung, -en",Billing,Die monatliche Abrechnung wird Ihnen per Post zugestellt.,Your monthly statement will be sent to you by post.,N
die,"Abrechnungssoftware, -s",Billing software,Unser Unternehmen nutzt eine moderne Abrechnungssoftware.,Our company uses modern billing software.,N
,abrufen,retrieve,Sie können Ihre E-Mails bequem von überall abrufen.,You can conveniently access your emails from anywhere.,V
der,"Absatz, -ä-e",Paragraph,Der Absatz unserer Produkte ist im letzten Jahr gestiegen.,Sales of our products increased last year.,N
,abschalten,switch off,Nach einem langen Tag kann ich beim Lesen gut abschalten.,"After a long day, reading helps me to unwind.",V
,absehbar,foreseeable,Ein Ende der Bauarbeiten ist momentan noch nicht absehbar.,An end to the construction work is not yet foreseeable.,Adj
,absichern,secure,Wir müssen das Gelände gegen unbefugten Zutritt absichern.,We need to secure the site against unauthorized access.,V
die,"Absicherung, -en",Security,Eine gute Versicherung dient der finanziellen Absicherung.,Good insurance provides financial security.,N
der/die,"Absolvent/in, -en/-nen",Graduate,Viele Absolventen finden direkt nach dem Studium einen Job.,Many graduates find a job immediately after completing their studies.,N
,absolvieren,complete,Er hat erfolgreich ein Praktikum bei einer Bank absolviert.,He successfully completed an internship at a bank.,V
,abspülen,rinse,"Wer ist heute in der WG mit dem Abspülen an der Reihe""","Whose turn is it to do the dishes in the shared apartment today""",V
der,"Abstand, -ä-e",Distance,Bitte halten Sie im Verkehr immer genug Abstand ein.,Please always maintain sufficient distance in traffic.,N
,abwägen,weigh up,Man muss die Vor- und Nachteile der Entscheidung abwägen.,One must weigh the advantages and disadvantages of the decision.,V
,abwechselnd,alternately,Wir haben uns abwechselnd um das Projekt gekümmert.,We took turns working on the project.,Adv
,abwechslungsreich,varied,Mein neuer Job ist sehr abwechslungsreich und spannend.,My new job is very varied and exciting.,Adv
die,"Abwesenheit, -en",Absence,Während seiner Abwesenheit übernahm sie die Leitung.,She took over the management during his absence.,N
,abzielen,target,Die Kampagne zielt auf eine jüngere Zielgruppe ab.,The campaign targets a younger audience.,V
der,"Abzug, -ü-e",Deduction,Nach Abzug der Steuern bleibt nicht mehr viel übrig.,"After taxes are deducted, there's not much left.",N
die,"Agentur, -en",Agency,Er arbeitet für eine bekannte Werbeagentur.,He works for a well-known advertising agency.,N
,aggressiv,aggressive,Der Kunde wurde am Telefon leider sehr aggressiv.,"Unfortunately, the customer became very aggressive on the phone.",Adj
der/die,"Akteur/in, -e/-nen",Actor,Die politischen Akteure müssen sich auf einen Kompromiss einigen.,The political actors must agree on a compromise.,N
,aktualisieren,update,"Bitte vergessen Sie nicht, Ihre Software regelmäßig zu aktualisieren.",Please remember to update your software regularly.,V
,akut,acute,Wir haben einen akuten Personalmangel in der Abteilung.,We have an acute staff shortage in the department.,Adj
,akzeptabel,acceptable,Dieser Vorschlag ist für beide Seiten akzeptabel.,This proposal is acceptable to both sides.,Adv
,alkoholisch,alcoholic,Auf der Feier gab es auch nicht-alkoholische Getränke.,Non-alcoholic drinks were also available at the party.,Adj
,alleinerziehend,single parent,Als alleinerziehende Mutter hat sie oft wenig Zeit für sich.,"As a single mother, she often has little time for herself.",Adj
die,"Altenpflege, -",Elderly care,Der Bedarf an Fachkräften in der Altenpflege steigt stetig.,The demand for skilled workers in elderly care is constantly increasing.,N
die,"Altersrente, -n",Old-age pension,Viele Menschen machen sich Sorgen um ihre Altersrente.,Many people are worried about their retirement pension.,N
,ambulant,outpatient,Der Patient konnte zum Glück ambulant behandelt werden.,"Fortunately, the patient was able to be treated on an outpatient basis.",Adj
,amüsant,amusing,Ich fand den Film gestern Abend sehr amüsant.,I found the film very amusing last night.,Adj
die,"Analyse, -n",Analysis,Die genaue Analyse der Daten wird einige Zeit dauern.,The detailed analysis of the data will take some time.,N
die,"Analysetechnik, -en",Analysis technique,Es wurden neue Analysetechniken im Labor eingeführt.,New analytical techniques were introduced in the laboratory.,N
die,"Anfahrt, -en",Directions,Die Anfahrt zum Hotel war sehr gut ausgeschildert.,The route to the hotel was very well signposted.,N
,anfallen,to be incurred,Bei diesem Projekt werden zusätzliche Kosten anfallen.,This project will incur additional costs.,V
die,"Anforderung, -en",Requirements,Die Anforderungen an die Bewerber sind sehr hoch.,The requirements for applicants are very high.,N
die,"Anfrage, -n",Inquiry,Wir haben gestern eine interessante Anfrage aus dem Ausland erhalten.,We received an interesting inquiry from abroad yesterday.,N
das,"Angebot: ein Angebot unterbreiten, -",Offer: to submit an offer,Wir werden Ihnen in den nächsten Tagen ein Angebot unterbreiten.,We will send you an offer in the next few days.,N
die,"Angelegenheit, -en",Matter,Ich werde mich persönlich um diese Angelegenheit kümmern.,I will personally take care of this matter.,N
,angemessen,appropriate,Eine angemessene Bezahlung ist für die Mitarbeitermotivation wichtig.,Fair pay is important for employee motivation.,V
,angesichts,in view of,Angesichts der aktuellen Lage müssen wir unsere Pläne ändern.,"Given the current situation, we need to change our plans.",Prep
,angespannt sein,be tense,Die Stimmung im Büro war heute sehr angespannt.,The atmosphere in the office was very tense today.,Adv
,angewiesen sein auf,to depend on,Wir sind auf die Unterstützung unserer Sponsoren angewiesen.,We depend on the support of our sponsors.,V
,anheben,lift,Die Preise für Lebensmittel wurden erneut angehoben.,Food prices have been raised again.,V
,anhören,listen,Du solltest dir beide Seiten der Geschichte anhören.,You should listen to both sides of the story.,V
die,"Animation, -en",Animation,Die Animation in diesem Film ist wirklich beeindruckend.,The animation in this film is truly impressive.,N
,ankaufen,buy,Das Museum möchte das Gemälde für seine Sammlung ankaufen.,The museum would like to purchase the painting for its collection.,V
der,"Anlass, -ä-e",Occasion,Wir suchen noch nach einem passenden Anlass für die Feier.,We are still looking for a suitable occasion for the celebration.,N
,anlässlich,on the occasion of,Anlässlich des Jubiläums gab es ein großes Fest.,A big celebration was held to mark the anniversary.,Prep
,anlegen,invest,"Es ist ratsam, sein Geld langfristig anzulegen.",It is advisable to invest your money for the long term.,V
das,"Anliegen, -",Issue,"Was ist Ihr genaues Anliegen in dieser Sache""","What exactly is your concern in this matter""",N
,anmieten,rent,Wir müssen für die Konferenz noch weitere Räume anmieten.,We need to rent additional rooms for the conference.,V
die,"Anordnung, -en",Arrangement,Die Mitarbeiter folgten der Anordnung der Geschäftsleitung.,The employees followed the management's instructions.,N
,anpacken,tackle,"Wenn wir alle anpacken, sind wir schneller fertig.","If we all pitch in, we'll finish faster.",V
sich,sich anpassen an,adapt to,Wir müssen uns an die neuen Marktbedingungen anpassen.,We need to adapt to the new market conditions.,V
das,"Anrecht, -e; auf",Right,Sie haben ein Anrecht auf bezahlten Urlaub.,You are entitled to paid leave.,N
,anreden,address,"Wie soll ich den Direktor in der E-Mail anreden""","How should I address the director in the email""",V
,anregend,stimulating,Das war ein sehr anregendes und interessantes Gespräch.,That was a very stimulating and interesting conversation.,Adj
der/die,"Anrufer/in, -/-nen",Caller,Der Anrufer wollte seinen Namen leider nicht nennen.,"Unfortunately, the caller declined to give his name.",N
die,"Anschaffung, -en",Acquisition,Die Anschaffung neuer Computer war dringend notwendig.,The purchase of new computers was urgently needed.,N
,anschauen,look at,Wir sollten uns die Unterlagen noch einmal genau anschauen.,We should take another close look at the documents.,V
,anscheinend,apparently,Er hat die E-Mail anscheinend nicht gelesen.,He apparently didn't read the email.,Adj
,anschließend,afterward,Nach dem Essen gingen wir anschließend noch spazieren.,"After dinner, we went for a walk.",Adj
der,"Anschlussflug, -ü-e",Connecting flight,Wir haben unseren Anschlussflug nach Berlin leider verpasst.,"Unfortunately, we missed our connecting flight to Berlin.",N
das,"Anschreiben, -",Cover letter,Bitte senden Sie Ihr Anschreiben zusammen mit Ihrem Lebenslauf.,Please send your cover letter along with your resume.,N
die,"Anschrift, -en",Address(es),"Bitte überprüfen Sie, ob Ihre Anschrift korrekt ist.",Please check that your address is correct.,N
der/die,"Ansprechpartner/in, -/-nen",Contact person,Mein Ansprechpartner in der Firma ist Herr Müller.,My contact person at the company is Mr. Müller.,N
,ansteckend,contagious,Diese Krankheit ist leider sehr ansteckend.,This disease is unfortunately very contagious.,Adj
die,"Anstellung, -en",Employment,Er hat eine feste Anstellung in einem großen Unternehmen gefunden.,He has found a permanent position at a large company.,N
die,"Anstrengung, -en",Effort,Das Projekt erforderte eine große Anstrengung von allen Beteiligten.,The project required a great effort from all involved.,N
der,"Anteil, -e",Share,Ein großer Anteil unseres Budgets fließt in die Forschung.,A large portion of our budget goes towards research.,N
,antreten,compete,Sie wird nächste Woche ihre neue Stelle antreten.,She will start her new job next week.,V
die,"Anweisung, -en",Instruction,Bitte befolgen Sie genau die Anweisung des Abteilungsleiters.,Please follow the department head's instructions precisely.,N
die,"Anwesenheit, -",Presence,Die Anwesenheit aller Mitarbeiter beim Meeting ist verpflichtend.,The attendance of all employees at the meeting is mandatory.,N
die,"Anzeigekampagne, -n",Advertising campaign,Die neue Anzeigekampagne war ein großer Erfolg für das Unternehmen.,The new advertising campaign was a great success for the company.,N
der/die,"Arbeitgeber/in, -/-nen",Employer,Mein Arbeitgeber bietet flexible Arbeitszeiten an.,My employer offers flexible working hours.,N
der,"Arbeitgeberanteil, -e",Employer's contribution,Der Arbeitgeberanteil zur Krankenversicherung wird automatisch abgeführt.,The employer's contribution to health insurance is automatically deducted.,N
die,"Arbeitgeberbescheinigung, -en",Employer certificate,Für den Antrag benötigen Sie eine aktuelle Arbeitgeberbescheinigung.,You will need a current employer certificate for the application.,N
der,"Arbeitgeberverband, -ä-e",Employers' association,Der Arbeitgeberverband verhandelt derzeit über neue Tarife.,The employers' association is currently negotiating new tariffs.,N
die,"Arbeitsbelastung, -en",Workload,Die hohe Arbeitsbelastung führt bei vielen zu Stress.,The heavy workload leads to stress for many.,N
,arbeitsfähig,able to work,Nach seiner Krankheit ist er nun wieder voll arbeitsfähig.,"After his illness, he is now fully able to work again.",Adj
das,"Arbeitsförderungsrecht, -e",Employment promotion law,Das Arbeitsförderungsrecht regelt die Unterstützung für Arbeitslose.,Employment promotion law regulates support for the unemployed.,N
der,"Arbeitskampf, -ä-e",Labor dispute,Der Arbeitskampf der Gewerkschaft dauerte mehrere Wochen.,The union's industrial action lasted several weeks.,N
die,"Arbeitsleistung, -en",Work performance,Ihre Arbeitsleistung hat sich im letzten Jahr deutlich verbessert.,Her work performance has improved significantly in the last year.,N
das,"Arbeitslosengeld, -er",Unemployment benefit,Nach der Kündigung musste er Arbeitslosengeld beantragen.,"After being fired, he had to apply for unemployment benefits.",N
die,"Arbeitslosenquote, -n",Unemployment rate,Die Arbeitslosenquote ist im letzten Quartal leicht gesunken.,The unemployment rate fell slightly in the last quarter.,N
die,"Arbeitslosenversicherung, -en",Unemployment insurance,Die Beiträge zur Arbeitslosenversicherung werden vom Lohn abgezogen.,Unemployment insurance contributions are deducted from wages.,N
die,"Arbeitslosenzahl, -en",Number of unemployed,Die Arbeitslosenzahl in der Region ist weiterhin hoch.,The unemployment rate in the region remains high.,N
der,"Arbeitsmarkt, -ä-e",Labor market,Der Arbeitsmarkt für IT-Spezialisten ist derzeit sehr gut.,The job market for IT specialists is currently very good.,N
das,"Arbeitsmittel, -",Work equipment,Der Arbeitgeber muss alle notwendigen Arbeitsmittel zur Verfügung stellen.,The employer must provide all necessary work equipment.,N
die,"Arbeitsplatzgestaltung, -en",Workplace design,Eine ergonomische Arbeitsplatzgestaltung ist wichtig für die Gesundheit.,An ergonomic workplace design is important for health.,N
der,"Arbeitsschutz, -",Occupational safety,Der Arbeitsschutz hat in unserem Betrieb höchste Priorität.,Occupational safety has the highest priority in our company.,N
der,"Arbeitsspeicher, -",RAM,Mein neuer Computer hat viel mehr Arbeitsspeicher als der alte.,My new computer has much more RAM than the old one.,N
die,"Arbeitsstätte, -n",Workplace,Die Arbeitsstätte muss gut beleuchtet und belüftet sein.,The workplace must be well lit and ventilated.,N
der,"Arbeitsstil, -e",Work style,"Jeder Mitarbeiter hat seinen eigenen, individuellen Arbeitsstil.",Each employee has their own individual working style.,N
,arbeitssuchend,job seeker,Er ist schon seit mehreren Monaten arbeitssuchend.,He has been looking for work for several months.,Adj
der/die,"Arbeitssuchende, -n",Job seekers,Viele Arbeitssuchende nutzen Online-Portale für die Jobsuche.,Many job seekers use online portals to search for jobs.,N
die,"Arbeitsteilung, -en",Division of labor,Eine gute Arbeitsteilung im Team macht uns effizienter.,A good division of labor within the team makes us more efficient.,N
,arbeitsunfähig,unfit for work,Der Arzt hat ihn für eine Woche arbeitsunfähig geschrieben.,The doctor has declared him unfit for work for one week.,Adj
die,"Arbeitsunfähigkeit, -en",Incapacity for work,Bei längerer Arbeitsunfähigkeit zahlt die Krankenkasse Krankengeld.,"In the event of prolonged incapacity for work, the health insurance company pays sick pay.",N
die,"Arbeitsunfähigkeits- bescheinigung, -en",Certificate of incapacity for work,Bitte reichen Sie Ihre Arbeitsunfähigkeitsbescheinigung rechtzeitig ein.,Please submit your certificate of incapacity for work in good time.,N
die,"Arbeitsverhinderung, -en",Inability to work,Bei einer Arbeitsverhinderung müssen Sie sofort Bescheid geben.,"If you are unable to work, you must notify us immediately.",N
,arbeitsvertraglich,employment contract,Diese Pflichten sind arbeitsvertraglich genau geregelt.,These duties are precisely regulated in the employment contract.,Adj
die,"Arbeitsweise, -n",Working method,Wir müssen unsere Arbeitsweise an die neuen Bedingungen anpassen.,We need to adapt our working methods to the new conditions.,N
die,"Architektur, -",Architecture,Die Architektur dieses modernen Gebäudes ist faszinierend.,The architecture of this modern building is fascinating.,N
das,"Argument, -e",Argument,Das ist ein sehr überzeugendes Argument für Ihre Idee.,That is a very compelling argument for your idea.,N
das,"Arzneimittel, -",Medicines,Das neue Arzneimittel hat kaum Nebenwirkungen.,The new drug has hardly any side effects.,N
der/die,"Arzthelfer/in, -/-nen",Medical assistant,Die Arzthelferin an der Rezeption war sehr freundlich.,The medical assistant at reception was very friendly.,N
der,"Aspekt, -e",Aspect,Wir müssen diesen Aspekt bei unserer Entscheidung berücksichtigen.,We must take this aspect into account in our decision.,N
der/die,"Assistent, -en/-nen",Assistant,Der Assistent der Geschäftsführung organisiert alle Termine.,The executive assistant organizes all appointments.,N
die,"Atmosphäre, -",Atmosphere,Die Atmosphäre im neuen Büro ist sehr angenehm.,The atmosphere in the new office is very pleasant.,N
,attraktiv,attractive,Das Angebot der Konkurrenz war leider sehr attraktiv.,"Unfortunately, the competitor's offer was very attractive.",Adj
der,"Aufbau, -ten",Structure,Der Aufbau des neuen Systems wird einige Tage dauern.,Setting up the new system will take a few days.,N
,aufbauen,build up,Wir müssen ein neues Netzwerk von Kontakten aufbauen.,We need to build a new network of contacts.,V
,aufdringlich,intrusive,Der Verkäufer war mir etwas zu aufdringlich.,The salesman was a bit too pushy for my liking.,Adj
die,"Auffassungsgabe, -",Comprehension,Sie hat eine sehr schnelle Auffassungsgabe.,She has a very quick grasp of things.,N
,aufgrund,due to,Aufgrund des schlechten Wetters bleiben wir zu Hause.,"Due to the bad weather, we are staying home.",Prep
,aufklären,explain,Der Arzt muss den Patienten über die Risiken aufklären.,The doctor must inform the patient about the risks.,V
,auflisten,list,"Können Sie bitte alle Kosten auflisten""","Could you please list all the costs""",V
die,"Auflistung, -en",List,Ich brauche eine genaue Auflistung der Ausgaben.,I need a detailed breakdown of the expenses.,N
,auflockern,loosen up,Ein Witz kann die Stimmung im Meeting auflockern.,A joke can lighten the mood in a meeting.,V
,aufmachen,open up,"Kannst du bitte das Fenster aufmachen""","Could you please open the window""",V
die,"Aufmerksamkeit, -en",Attention,Er braucht immer viel Aufmerksamkeit.,He always needs a lot of attention.,N
der,"Aufpreis, -e",Surcharge,Für dieses Extra müssen Sie einen Aufpreis zahlen.,You will have to pay an extra charge for this feature.,N
,aufrufen,call,Der Arzt wird Sie gleich aufrufen.,The doctor will call you in shortly.,V
,auftauchen,turn up,Das Problem ist plötzlich aufgetaucht.,The problem arose suddenly.,V
,aufteilen,divide,Wir müssen die Arbeit gerecht aufteilen.,We need to divide the work fairly.,V
der/die,"Auftraggeber/in, -/-nen",Client,Der Auftraggeber war mit dem Ergebnis sehr zufrieden.,The client was very satisfied with the result.,N
die,"Auftragsabwicklung, -en",Order processing,Die Auftragsabwicklung dauert in der Regel zwei Tage.,Order processing usually takes two days.,N
die,"Auftragsausführung, -en",Order execution,Wir garantieren eine schnelle Auftragsausführung.,We guarantee fast order processing.,N
die,"Auftragsvergabe, -n",Contract award,Die Auftragsvergabe erfolgt nach strengen Kriterien.,Contracts are awarded according to strict criteria.,N
der,"Aufwand, -ä-e",Effort,Der Aufwand für dieses Projekt ist sehr hoch.,The effort required for this project is very high.,N
,aufweisen,exhibit,Das neue Modell weist einige Verbesserungen auf.,The new model features several improvements.,V
,aufzählen,enumerate,Ich kann dir viele Gründe dafür aufzählen.,I can give you many reasons for that.,V
die,"Aufzählung, -en",Enumeration,Die Aufzählung ist leider nicht vollständig.,"Unfortunately, this list is not complete.",N
,ausbauen,expand,Wir wollen unser Geschäft weiter ausbauen.,We want to further expand our business.,V
,ausbreiten,spread,Das Feuer konnte sich schnell ausbreiten.,The fire was able to spread quickly.,V
,ausdrücklich,expressly,Ich habe dich ausdrücklich davor gewarnt.,I explicitly warned you about this.,Adj
,ausführen,carry out,"Wer wird diesen Plan ausführen""","Who will carry out this plan""",V
,ausführlich,detailed,Bitte schreiben Sie einen ausführlichen Bericht.,Please write a detailed report.,Adj
die,"Ausführung, -en",Version,Die Ausführung der Arbeiten war fehlerhaft.,The work was carried out incorrectly.,N
,ausgebildet,trained,Wir suchen gut ausgebildete Fachkräfte.,We are looking for well-trained specialists.,Adj
,ausgehend,starting,"Von diesem Punkt ausgehend, planen wir weiter.","From this point onward, we plan further.",Adj
,ausgeprägt sein,be pronounced,Sein Talent für Musik ist stark ausgeprägt.,His talent for music is highly developed.,Adv
,ausgeschrieben,written out,Die Stelle ist bereits offiziell ausgeschrieben.,The position has already been officially advertised.,Adj
,ausgestattet,equipped,Das Zimmer ist sehr gut ausgestattet.,The room is very well equipped.,Adj
der,"Ausgleich, -e",Compensation,Wir suchen einen Ausgleich zwischen Arbeit und Freizeit.,We are looking for a balance between work and leisure.,N
,ausgleichen,balance,Das Konto muss bis zum Monatsende ausgeglichen sein.,The account must be balanced by the end of the month.,V
,aushandeln,negotiate,Wir müssen noch die genauen Bedingungen aushandeln.,We still need to negotiate the exact terms.,V
,aushändigen,hand over,Bitte händigen Sie mir die Dokumente aus.,Please hand over the documents to me.,V
der,"Aushang, -ä-e",Notice,Achten Sie auf den Aushang am Schwarzen Brett.,Please check the notice board.,N
,aushängen,hang up,Wir werden die neuen Regeln morgen aushängen.,We will post the new rules tomorrow.,V
,auslagern,outsource,Das Unternehmen möchte die Produktion ins Ausland auslagern.,The company wants to outsource production abroad.,V
,auslösen,trigger,Eine kleine Ursache kann eine große Wirkung auslösen.,A small cause can trigger a large effect.,V
,ausnehmen,excluding,Wir müssen ihn von dieser Regel ausnehmen.,We must exempt him from this rule.,V
,ausprobieren,try,Ich möchte dieses neue Rezept gerne ausprobieren.,I would like to try this new recipe.,V
die,"Ausrede, -n",Excuse,Das ist doch nur eine billige Ausrede!,That's just a cheap excuse!,N
,ausreden,excuses,Lass mich bitte erst einmal ausreden.,Please let me finish speaking first.,V
,ausrutschen,slip,"Pass auf, dass du auf dem Eis nicht ausrutschst.",Be careful not to slip on the ice.,V
,aussagekräftig,meaningful,Wir brauchen aussagekräftige Daten für die Analyse.,We need meaningful data for the analysis.,Adj
,ausschalten,turn off,Bitte schalten Sie Ihr Handy während der Vorstellung aus.,Please switch off your mobile phone during the performance.,V
,ausschlafen,sleep in,Am Wochenende möchte ich endlich mal wieder ausschlafen.,I'd finally like to sleep in again this weekend.,V
,ausschlaggebend,decisive,Dieser Fehler war ausschlaggebend für die Niederlage.,This mistake was decisive in the defeat.,Adj
der/die,"Außendienstmitarbeiter/in, -/-nen",Field service employee (m/f),Der Außendienstmitarbeiter besucht heute mehrere Kunden.,The sales representative is visiting several customers today.,N
,äußern,express,Er wollte sich zu diesem Thema nicht äußern.,He declined to comment on the matter.,V
,außerordentlich,extraordinary,Das Essen in diesem Restaurant ist außerordentlich gut.,The food in this restaurant is exceptionally good.,Adj
die,"Äußerung, -en",Utterance,Diese Äußerung war völlig unpassend.,This statement was completely inappropriate.,N
,ausstatten,equip,Wir müssen das neue Büro noch mit Möbeln ausstatten.,We still need to furnish the new office.,V
die,"Ausstattung, -en",Equipment,Die technische Ausstattung der Räume ist sehr modern.,The technical equipment in the rooms is very modern.,N
,austauschen,exchange,Wir sollten unsere Erfahrungen miteinander austauschen.,We should share our experiences with each other.,V
,ausüben,exercise,Sie möchte ihren Beruf noch viele Jahre ausüben.,She wants to continue practicing her profession for many years to come.,V
die,"Auswahl: zur Auswahl stehen, -",Selection: the following options are available,Es stehen drei verschiedene Menüs zur Auswahl.,There are three different menus to choose from.,N
der,"Auswärtstermin, -e",Off-site appointment,Ich bin heute Nachmittag bei einem Auswärtstermin.,I have an off-site meeting this afternoon.,N
die,"Ausweisung, -en",Expulsion,Die Ausweisung des Diplomaten führte zu einem Skandal.,The expulsion of the diplomat led to a scandal.,N
,auswerten,evaluate,Wir müssen die Ergebnisse der Umfrage genau auswerten.,We need to carefully analyze the survey results.,V
sich,sich auswirken auf,affect (Acc.),Stress kann sich negativ auf die Gesundheit auswirken.,Stress can have a negative impact on health.,V
die,"Auswirkung, -en",Effects,Die neuen Regeln haben große Auswirkungen auf unsere Arbeit.,The new rules have a major impact on our work.,N
die,"Auszahlung, -en",Payout,Die Auszahlung des Gehalts erfolgt am Ende des Monats.,Salary is paid at the end of the month.,N
der,"Auszahlungsbetrag, -ä-e",Payout amount,Der genaue Auszahlungsbetrag steht auf der Abrechnung.,The exact payout amount is shown on the statement.,N
die,"Autobatterie, -n",Car battery,"Meine Autobatterie ist leer, das Auto springt nicht an.","My car battery is dead, the car won't start.",N
das,"Automobil, -e",Automobile,Die Entwicklung des Automobils hat die Welt verändert.,The development of the automobile has changed the world.,N
die,"Automobilbranche, -n",Automotive industry,Die Automobilbranche befindet sich im Wandel.,The automotive industry is undergoing a transformation.,N
der,"Automotor, -en",Car engine,Der Mechaniker repariert den kaputten Automotor.,The mechanic is repairing the broken car engine.,N
,autonom,autonomous,Das autonome Fahren ist ein großes Thema in der Forschung.,Autonomous driving is a major topic in research.,Adv
der,"Backofen, -ö",Oven,Die Pizza muss noch zehn Minuten in den Backofen.,The pizza needs to go back in the oven for another ten minutes.,N
die,"Bakterie, -n",Bacterium,Nicht alle Bakterien sind schädlich für den Menschen.,Not all bacteria are harmful to humans.,N
der,"Band, -ä-e",Band,Ich lese gerade den zweiten Band dieser Buchreihe.,I am currently reading the second volume of this book series.,N
die,"Basis, -",Base,Vertrauen ist die Basis einer guten Beziehung.,Trust is the basis of a good relationship.,N
die,"Basiskenntnisse, -",Basic knowledge,Für diesen Job sind gute Basiskenntnisse in Englisch erforderlich.,Good basic knowledge of English is required for this job.,N
die,"Bauabnahme, -n",Building inspection,Morgen findet die offizielle Bauabnahme statt.,The official building inspection will take place tomorrow.,N
das,"Baugewerbe, -",Construction industry,Im Baugewerbe werden dringend Fachkräfte gesucht.,The construction industry is urgently seeking skilled workers.,N
